name,Category,website_url
www.zoomcar.com,Travel,https://www.zoomcar.com/bangalore/
www.lyft.com,Travel,https://www.lyft.com/
www.grab.com,Travel,https://www.grab.com/sg/transport/taxi/
www.bitaksi.com,Travel,http://www.bitaksi.com/en/
www.avaseakrabi.com,Travel,https://www.avaseakrabi.com/
www.fariyas.com,Travel,https://www.fariyas.com/resort-in-lonavala/
www.fernhotels.com,Travel,https://www.fernhotels.com/
www.tajhotels.com,Travel,https://www.tajhotels.com/
www.montriresort-bangkok.com,Travel,https://www.montriresort-bangkok.com/
www.tridenthotels.com,Travel,https://www.tridenthotels.com/
